season,date,opponent,location,result,score
2022,August 13,Indianapolis Colts,,W27–24,W27–24
2022,August 20,Denver Broncos,,W42–15,W42–15
2022,August 26,atCarolina Panthers,,L0–21,L0–21
2023,August 12,Indianapolis Colts,,W23–19,W23–19
2023,August 19,atPittsburgh Steelers,,L15–27,L15–27
2023,August 26,atChicago Bears,,W24–21,W24–21
